discpline,count
cs.LG,68
cs.CV,56
quant-ph,40
cs.CL,39
hep-ph,34
math.CO,24
astro-ph.GA,22
cs.RO,22
math.OC,21
math.AP,21
hep-th,20
math.NT,18
cs.CR,17
astro-ph.SR,17
cond-mat.mes-hall,16
cond-mat.str-el,16
cs.IT,16
math.NA,16
stat.ME,14
astro-ph.HE,14
cs.SE,14
eess.SP,13
gr-qc,13
physics.app-ph,12
math-ph,12
cond-mat.soft,12
math.DS,12
math.DG,12
eess.SY,12
physics.ins-det,11
math.PR,10
astro-ph.CO,10
math.AG,10
math.RT,10
cond-mat.stat-mech,9
astro-ph.IM,9
eess.IV,9
astro-ph.EP,9
cs.DC,9
hep-lat,9
cs.AI,8
physics.optics,8
cs.IR,8
cs.DS,8
cond-mat.mtrl-sci,7
cs.NI,7
math.FA,6
cs.CY,6
cs.SD,6
stat.ML,6
physics.flu-dyn,6
math.GT,6
hep-ex,6
cs.LO,6
physics.plasm-ph,6
math.CA,6
math.LO,5
eess.AS,5
physics.comp-ph,5
physics.atom-ph,5
cs.NE,5
math.RA,5
cs.HC,5
cond-mat.quant-gas,5
econ.TH,4
cs.SI,4
q-bio.PE,4
q-bio.NC,4
nucl-th,4
nucl-ex,4
physics.soc-ph,4
stat.AP,4
math.ST,4
cond-mat.dis-nn,3
cs.DB,3
physics.acc-ph,3
nlin.SI,3
physics.class-ph,3
physics.gen-ph,3
math.MG,3
math.CT,3
math.GR,3
physics.bio-ph,3
cs.FL,3
nlin.AO,2
math.GN,2
math.SG,2
physics.geo-ph,2
math.OA,2
math.SP,2
physics.hist-ph,2
cs.CG,2
cs.GR,2
cs.MA,2
cond-mat.supr-con,2
physics.data-an,2
econ.EM,2
cs.ET,2
physics.chem-ph,2
math.AT,2
math.CV,2
cs.CC,2
cs.CE,1
math.QA,1
cs.NA,1
q-bio.CB,1
cs.GT,1
q-fin.PR,1
physics.atm-clus,1
q-fin.TR,1
q-bio.BM,1
math.GM,1
math.HO,1
cond-mat.other,1
physics.space-ph,1
q-fin.RM,1
stat.CO,1
q-bio.QM,1
q-fin.ST,1
cs.DM,1
cs.SC,1
physics.med-ph,1
q-fin.GN,1
