categories,count
cs.LG,441
cs.CV,321
quant-ph,7211
cs.CL,109
hep-ph,9463
math.CO,375
astro-ph.GA,2349
cs.RO,70
math.OC,263
math.AP,389
hep-th,7564
math.NT,68
cs.CR,345
astro-ph.SR,4435
cond-mat.mes-hall,4431
cond-mat.str-el,3504
cs.IT,2290
math.NA,127
stat.ME,37
astro-ph.HE,3129
cs.SE,179
eess.SP,1
gr-qc,4494
math-ph,3305
cond-mat.soft,1668
math.DS,115
math.DG,338
physics.ins-det,394
math.PR,479
astro-ph.CO,6427
math.AG,160
math.RT,61
cond-mat.stat-mech,2907
astro-ph.IM,1132
astro-ph.EP,1317
cs.DC,345
hep-lat,1316
cs.AI,457
physics.optics,245
cs.IR,98
cs.DS,819
cond-mat.mtrl-sci,2829
cs.NI,547
math.FA,71
cs.CY,53
cs.SD,16
stat.ML,150
physics.flu-dyn,140
math.GT,32
hep-ex,2106
cs.LO,676
physics.plasm-ph,89
math.CA,60
math.LO,72
physics.comp-ph,136
physics.atom-ph,287
cs.NE,104
math.RA,43
cs.HC,35
cond-mat.quant-gas,1351
cs.SI,251
q-bio.PE,83
q-bio.NC,54
nucl-th,2538
nucl-ex,1097
physics.soc-ph,412
stat.AP,30
math.ST,72
cond-mat.dis-nn,753
cs.DB,147
physics.acc-ph,47
nlin.SI,163
physics.class-ph,64
physics.gen-ph,169
math.MG,29
math.CT,15
math.GR,24
physics.bio-ph,153
cs.FL,169
nlin.AO,33
math.GN,3
math.SG,28
physics.geo-ph,20
math.OA,45
math.SP,148
physics.hist-ph,80
cs.CG,257
cs.GR,31
cs.MA,58
cond-mat.supr-con,2344
physics.data-an,148
cs.ET,21
physics.chem-ph,151
math.AT,31
math.CV,28
cs.CC,375
cs.CE,91
math.QA,152
cs.NA,98
q-bio.CB,15
cs.GT,322
q-fin.PR,176
physics.atm-clus,17
q-fin.TR,90
q-bio.BM,39
math.GM,4
math.HO,15
cond-mat.other,846
physics.space-ph,35
q-fin.RM,77
stat.CO,12
q-bio.QM,44
q-fin.ST,161
cs.DM,382
cs.SC,102
physics.med-ph,6
q-fin.GN,122
